01-29 18:03:17.515 I/PackageUpdatedTask( 2785): added, appInfo : AppInfo(id=574 type=APP hidden=0 container=all_apps screen=-1 rank=0 rankOfList=-1 user=UserHandle{0} title=ASC componentName=ComponentInfo{com.asc.markets/com.asc.markets.MainActivity} screenType=0)
01-29 18:03:17.515 I/AppsModelWriter( 2785): addItems(start)> 0, 574, 0, -102, -1, 0, UserHandle{0}, 0, ASC, -1, -1
01-29 18:03:17.516 I/AppsModelWriter( 2785): normalizeVisibleItems(visibleItems)> 0, 574, 0, -102, 0, 14, UserHandle{0}, 0, ASC, -1, -1
01-29 18:03:17.803 I/AppsModelWriter( 2785): addItems(end) : addItem> 0, 574, 0, -102, 0, 14, UserHandle{0}, 0, ASC, -1, -1
01-29 18:03:17.807 I/Launcher.AppsPagedView( 2785): addItems => id: 574, rank: 14, screenId: 0, cellX: 4, cellY: 2, container: -102, dirty: false, title: ASC, isFolder: false, user: UserHandle{0}, disabled: false, screenType: 0
01-29 18:03:17.907 I/Launcher.AppsPageDelegate( 2785): updateItemToNewPosition = title : ASC , rank : 14 , screenId : 0, user: UserHandle{0}, pos: 14, screen: 0
01-29 18:03:18.221 D/ASC     (29364): MainActivity.onCreate() called
01-29 18:03:18.384 I/PackageUpdatedTask( 2785): modified, appInfo : AppInfo(id=574 type=APP hidden=0 container=all_apps screen=0 rank=14 rankOfList=-1 user=UserHandle{0} title=ASC componentName=ComponentInfo{com.asc.markets/com.asc.markets.MainActivity} screenType=0)
01-29 18:03:18.385 I/AppsModelWriter( 2785): updateItems(start)> 0, 574, 0, -102, 0, 14, UserHandle{0}, 0, ASC, -1, -1
01-29 18:03:18.386 I/AppsModelWriter( 2785): normalizeVisibleItems(visibleItems)> 0, 574, 0, -102, 0, 14, UserHandle{0}, 0, ASC, -1, -1
01-29 18:03:18.391 I/AppsModelWriter( 2785): updateItems(end) : updateItem> 0, 574, 0, -102, 0, 14, UserHandle{0}, 0, ASC, -1, -1
01-29 18:03:18.392 I/Launcher.AppsPagedView( 2785): UpdateItems => id: 574, rank: 14, screenId: 0, cellX: 4, cellY: 2, container: -102, dirty: false, title: ASC, isFolder: false, user: UserHandle{0}, disabled: false, screenType: 0
01-29 18:03:18.392 I/Launcher.AppsPageDelegate( 2785): updateItemToNewPosition = title : ASC , rank : 14 , screenId : 0, user: UserHandle{0}, pos: 14, screen: 0
01-29 18:03:18.515 I/AppsModelWriter( 2785): normalizeVisibleItems(visibleItems)> 0, 574, 0, -102, 0, 14, UserHandle{0}, 0, ASC, -1, -1
01-29 18:03:18.544 I/AppsModelWriter( 2785): changeItemsVisibility(end) : updateItems> 0, 574, 0, -102, 0, 14, UserHandle{0}, 0, ASC, -1, -1
01-29 18:03:18.548 I/Launcher.AppsPagedView( 2785): UpdateItems => id: 574, rank: 14, screenId: 0, cellX: 4, cellY: 2, container: -102, dirty: false, title: ASC, isFolder: false, user: UserHandle{0}, disabled: false, screenType: 0
01-29 18:03:18.598 I/Launcher.AppsPageDelegate( 2785): updateItemToNewPosition = title : ASC , rank : 14 , screenId : 0, user: UserHandle{0}, pos: 14, screen: 0
01-29 18:03:18.604 D/ASC     (29364): AscTheme content block called
01-29 18:03:19.842 D/ASC     (29364): AscTheme content block called
01-29 18:03:23.261 D/ASC     (29364): AscTheme content block called
01-29 18:03:23.347 D/ASC     (29364): DashboardScreen composed: activeTab=MARKET_OVERVIEW
01-29 18:03:23.440 D/ASC     (29364): AscSidebar composed: isCollapsed=false, currentView=DASHBOARD
01-29 18:03:23.724 D/ASC     (29364): Rendering tab=MARKET_OVERVIEW lucide=lucide_line_chart active=true res=2131165346
01-29 18:03:23.748 D/ASC     (29364): Rendering tab=TECHNICAL_VITALS lucide=lucide_activity active=false res=2131165342
01-29 18:03:23.767 D/ASC     (29364): Rendering tab=STRATEGY_SIGNALS lucide=lucide_list_filter active=false res=2131165347
01-29 18:03:24.075 D/ASC     (29364): LaunchedEffect: isDrawerOpen=false
01-29 18:03:24.081 D/ASC     (29364): snapshotFlow: drawerState.isOpen=false, vmIsOpen=false
01-29 18:03:24.372 D/ASC     (29364): drawerState.close() called
01-29 18:03:25.567 D/ASC     (29364): GlobalHeader: menu icon clicked
01-29 18:03:25.575 D/ASC     (29364): AscTheme content block called
01-29 18:03:25.595 D/ASC     (29364): LaunchedEffect: isDrawerOpen=true
01-29 18:03:25.888 D/ASC     (29364): drawerState.open() called
01-29 18:03:25.889 D/ASC     (29364): snapshotFlow: drawerState.isOpen=true, vmIsOpen=true
01-29 18:03:26.982 D/ASC     (29364): AscTheme content block called
01-29 18:03:26.998 D/ASC     (29364): LaunchedEffect: isDrawerOpen=false
01-29 18:03:27.274 D/ASC     (29364): drawerState.close() called
01-29 18:03:27.274 D/ASC     (29364): snapshotFlow: drawerState.isOpen=false, vmIsOpen=false
01-29 18:03:27.595 D/ASC     (29364): GlobalHeader: menu icon clicked
01-29 18:03:27.601 D/ASC     (29364): AscTheme content block called
01-29 18:03:27.616 D/ASC     (29364): LaunchedEffect: isDrawerOpen=true
01-29 18:03:27.889 D/ASC     (29364): drawerState.open() called
01-29 18:03:27.890 D/ASC     (29364): snapshotFlow: drawerState.isOpen=true, vmIsOpen=true
01-29 18:03:28.357 D/ASC     (29364): AscTheme content block called
01-29 18:03:28.371 D/ASC     (29364): LaunchedEffect: isDrawerOpen=false
01-29 18:03:28.657 D/ASC     (29364): drawerState.close() called
01-29 18:03:28.658 D/ASC     (29364): snapshotFlow: drawerState.isOpen=false, vmIsOpen=false
01-29 18:03:28.963 D/ASC     (29364): GlobalHeader: menu icon clicked
01-29 18:03:28.969 D/ASC     (29364): AscTheme content block called
01-29 18:03:28.988 D/ASC     (29364): LaunchedEffect: isDrawerOpen=true
01-29 18:03:29.271 D/ASC     (29364): drawerState.open() called
